Drugs,ChEMBL_Drug_ID,Gene_Symbol
Vinblastine,CHEMBL159,TUBB4B
Vinblastine,CHEMBL159,TUBB1
Vinblastine,CHEMBL159,TUBA3C
Vinblastine,CHEMBL159,TUBA4A
Vinblastine,CHEMBL159,TUBB3
Vinblastine,CHEMBL159,TUBA1A
Vinblastine,CHEMBL159,TUBB4A
Vinblastine,CHEMBL159,TUBB8
Vinblastine,CHEMBL159,TUBB
Vinblastine,CHEMBL159,TUBA1B
Vinblastine,CHEMBL159,TUBA1C
Vinblastine,CHEMBL159,TUBA3E
Vinblastine,CHEMBL159,TUBB2A
Vinblastine,CHEMBL159,TUBB2B
Vinblastine,CHEMBL159,TUBB6
Vorinostat,CHEMBL98,HDAC2
Vorinostat,CHEMBL98,HDAC1
Vorinostat,CHEMBL98,HDAC3
Vorinostat,CHEMBL98,HDAC6
YK-4-279,CHEMBL2011500,
Mycophenolic acid,CHEMBL866,IMPDH1
Mycophenolic acid,CHEMBL866,IMPDH2
I-BET-762,CHEMBL1232461,BRDT
I-BET-762,CHEMBL1232461,BRD2
I-BET-762,CHEMBL1232461,BRD3
I-BET-762,CHEMBL1232461,BRD4
TW 37,CHEMBL217354,
ZM447439,CHEMBL202721,
GSK2110183B,CHEMBL2219422,AKT1
GSK2110183B,CHEMBL2219422,AKT2
GSK2110183B,CHEMBL2219422,AKT3
AZD5582,CHEMBL3108827,
Bosutinib,CHEMBL288441,ABL1
Bosutinib,CHEMBL288441,SRC
Bosutinib,CHEMBL288441,BCR
Bosutinib,CHEMBL288441,HCK
Bosutinib,CHEMBL288441,LYN
Cisplatin,CHEMBL11359,
Refametinib,CHEMBL1236682,MAP2K1
Refametinib,CHEMBL1236682,MAP2K2
Dihydrorotenone,CHEMBL7940,
MK-8776,CHEMBL2386889,CHEK1
AZD2014,CHEMBL2336325,MTOR
BMS-754807,CHEMBL575448,IGF1R
BMS-754807,CHEMBL575448,INSR
Bleomycin,CHEMBL6067492,
5-azacytidine,CHEMBL1489,DNMT3A
5-azacytidine,CHEMBL1489,DNMT1
PRT062607,CHEMBL2177736,
Ibrutinib,CHEMBL1873475,BTK
Afatinib,CHEMBL1173655,ERBB4
Afatinib,CHEMBL1173655,ERBB2
Afatinib,CHEMBL1173655,EGFR
GSK269962A,CHEMBL220241,
SGC0946,CHEMBL3087498,
Axitinib,CHEMBL1289926,FLT1
Axitinib,CHEMBL1289926,FLT4
Axitinib,CHEMBL1289926,KDR
Sorafenib,CHEMBL1336,PDGFRB
Sorafenib,CHEMBL1336,FLT1
Sorafenib,CHEMBL1336,FLT4
Sorafenib,CHEMBL1336,KDR
Sorafenib,CHEMBL1336,FLT3
Sorafenib,CHEMBL1336,RET
Sorafenib,CHEMBL1336,RAF1
Osimertinib,CHEMBL3353410,EGFR
Palbociclib,CHEMBL189963,CDK4
Palbociclib,CHEMBL189963,CCND1
Palbociclib,CHEMBL189963,CDK6
RO-3306,CHEMBL5305651,
Oxaliplatin,CHEMBL414804,
OSI-027,CHEMBL2132692,
NU7441,CHEMBL188678,
Cediranib,CHEMBL491473,KIT
Cediranib,CHEMBL491473,PDGFRB
Cediranib,CHEMBL491473,PDGFRA
Cediranib,CHEMBL491473,FLT1
Cediranib,CHEMBL491473,FLT4
Cediranib,CHEMBL491473,KDR
GSK-LSD1,CHEMBL4301645,
Piperlongumine,CHEMBL465843,
Crizotinib,CHEMBL601719,MST1R
Crizotinib,CHEMBL601719,ALK
Crizotinib,CHEMBL601719,EML4
Crizotinib,CHEMBL601719,MET
Crizotinib,CHEMBL601719,ROS1
BX795,CHEMBL577784,
VE-822,CHEMBL3989870,ATR
