Drug,Cell_Line,Predicted_IC50
Vinblastine,SU-DHL-6,0.042519834
Vinorelbine,VAL,0.054447472
Docetaxel,Farage,0.056819435
Romidepsin,Farage,0.065321885
Romidepsin,SU-DHL-5,0.06894644
Docetaxel,SU-DHL-5,0.06922643
Docetaxel,DOHH-2,0.072272025
Bortezomib,Farage,0.07252029
Bortezomib,A3-KAW,0.07466846
Romidepsin,A3-KAW,0.07503247
Romidepsin,BC-1,0.07521014
Vinorelbine,SU-DHL-5,0.07771244
Bortezomib,NU-DUL-1,0.077947736
Romidepsin,DOHH-2,0.07812911
Romidepsin,H4,0.078335926
Vinblastine,SU-DHL-8,0.07838839
Bortezomib,SU-DHL-10,0.08132065
Vinorelbine,SU-DHL-16,0.08139039
Vinorelbine,KARPAS-422,0.08404665
Bortezomib,MOG-G-UVW,0.08415218
SN-38,SU-DHL-5,0.08421847
Dactinomycin,DOHH-2,0.08502731
Docetaxel,A4-Fuk,0.08759811
Bortezomib,MC116,0.08777985
Vinorelbine,RC-K8,0.088896036
Bortezomib,JSC-1,0.08903992
Romidepsin,SU-DHL-6,0.08906294
Dactinomycin,Farage,0.08968666
Romidepsin,SCC-3,0.09012189
Docetaxel,CTB-1,0.0908871
SN-38,DOHH-2,0.09331361
Bortezomib,JEKO-1,0.093323074
Vinorelbine,OCI-LY-19,0.093906544
Dactinomycin,DOHH-2,0.09489878
Dactinomycin,A4-Fuk,0.097082496
Dactinomycin,OCI-LY-19,0.09744654
Bortezomib,BC-1,0.099365525
Rapamycin,SU-DHL-5,0.099493064
Vinorelbine,BC-1,0.0995003
Paclitaxel,Farage,0.10006795
Sepantronium bromide,SU-DHL-5,0.10162318
Dactinomycin,RL,0.102582395
Dactinomycin,NU-DUL-1,0.10259263
Romidepsin,SW1088,0.102864034
Sepantronium bromide,Farage,0.103190914
Rapamycin,SU-DHL-16,0.103199095
Bortezomib,RL,0.10378587
Romidepsin,SF539,0.104374334
Rapamycin,DOHH-2,0.10474728
Vinblastine,BC-1,0.10514548
Sepantronium bromide,NU-DUL-1,0.10542186
Bortezomib,CRO-AP2,0.1069779
Bortezomib,DB,0.10704794
Dactinomycin,A3-KAW,0.10746103
Bortezomib,SF126,0.10815183
Romidepsin,8-MG-BA,0.10835866
Bortezomib,GAMG,0.10888741
Dactinomycin,JSC-1,0.108938426
Daporinad,NU-DUL-1,0.1089649
Bortezomib,SU-DHL-4,0.108969726
Vinorelbine,A4-Fuk,0.10899583
Bortezomib,SU-DHL-6,0.10951399
Dactinomycin,BC-1,0.10958098
Dactinomycin,WSU-DLCL2,0.10970848
Vinorelbine,MC116,0.10994169
Dactinomycin,SU-DHL-10,0.10998347
Paclitaxel,BC-1,0.11038457
Paclitaxel,SU-DHL-16,0.11045667
Bortezomib,D-566MG,0.11060268
Romidepsin,KARPAS-422,0.11096094
Romidepsin,T98G,0.11162014
Vincristine,SU-DHL-5,0.11171186
Paclitaxel,SU-DHL-5,0.111734666
Docetaxel,MOG-G-UVW,0.11309506
Dactinomycin,SCC-3,0.11354128
Vinorelbine,RL,0.11356531
SN-38,SU-DHL-16,0.113707475
Paclitaxel,DOHH-2,0.11385737
Gemcitabine,SU-DHL-5,0.11413256
Rapamycin,SU-DHL-6,0.11433706
Daporinad,DOHH-2,0.115064815
Bortezomib,VAL,0.11565539
Docetaxel,Hs-683,0.115791336
Vinorelbine,WSU-DLCL2,0.11614661
Vinorelbine,JSC-1,0.116169214
Dactinomycin,CTB-1,0.11675503
Dactinomycin,MOG-G-UVW,0.116763026
Romidepsin,SLVL,0.11678973
Dactinomycin,JEKO-1,0.116895914
SN-38,Farage,0.11718261
SN-38,A3-KAW,0.1173219
Docetaxel,D-336MG,0.11787156
SN-38,WSU-DLCL2,0.11791704
Bortezomib,SF539,0.117921084
Gemcitabine,DOHH-2,0.11800073
Paclitaxel,A3-KAW,0.118983135
Sepantronium bromide,SU-DHL-16,0.119503334
Docetaxel,WSU-DLCL2,0.11992333
Vinorelbine,DB,0.12070918
Vinorelbine,SU-DHL-4,0.12077305
Vincristine,SU-DHL-6,0.12134181
Docetaxel,D-566MG,0.121554315
Vinblastine,JSC-1,0.12185442
Docetaxel,A3-KAW,0.121962965
Sepantronium bromide,SLVL,0.122984536
Dactinomycin,SU-DHL-6,0.12314787
Sepantronium bromide,DB,0.12335593
Sepantronium bromide,SU-DHL-4,0.124299966
SN-38,CTB-1,0.12486761
Docetaxel,BC-1,0.12514685
Sepantronium bromide,42-MG-BA,0.1251634
Sepantronium bromide,SCC-3,0.12571937
Docetaxel,JSC-1,0.1263194
Docetaxel,JSC-1,0.12631941
Daporinad,Farage,0.12641552
Bortezomib,D-423MG,0.12763223
Bortezomib,KARPAS-1106P,0.12777664
Sepantronium bromide,A4-Fuk,0.1277891
Daporinad,CRO-AP2,0.12872401
Paclitaxel,MC116,0.12877086
Sepantronium bromide,MC116,0.12883796
Sepantronium bromide,KARPAS-1106P,0.12899497
Dactinomycin,DB,0.12900217
Dactinomycin,DB,0.1290022
Dactinomycin,Hs-683,0.12907869
Bortezomib,Hs-683,0.12910378
Vinorelbine,SU-DHL-6,0.12921141
SN-38,RL,0.12933187
Bortezomib,TK,0.1300087
Sepantronium bromide,JM1,0.13011976
Sepantronium bromide,D-566MG,0.13012488
Dactinomycin,SU-DHL-6,0.13019317
Vinorelbine,SCC-3,0.13042936
SN-38,SU-DHL-4,0.13055545
Romidepsin,TUR,0.13057294
Paclitaxel,CRO-AP2,0.13076271
Vinorelbine,M059J,0.13135512
Bortezomib,no-10,0.13153388
Vinorelbine,CTB-1,0.13174227
Docetaxel,GI-1,0.13193692
Docetaxel,TUR,0.13195969
Bortezomib,8-MG-BA,0.1325321
Paclitaxel,JEKO-1,0.13273633
Bortezomib,SW1088,0.13327189
Sepantronium bromide,GAMG,0.13348883
Paclitaxel,SU-DHL-4,0.13369898
Docetaxel,D-423MG,0.13380039
Vincristine,BC-1,0.13469958
Vinorelbine,GRANTA-519,0.1351109
Sepantronium bromide,MOG-G-CCM,0.13521716
Sepantronium bromide,SU-DHL-10,0.13579412
Vinblastine,TUR,0.13582183
Vinorelbine,H4,0.13586372
Paclitaxel,YH-13,0.13624963
Bortezomib,YH-13,0.1365257
Staurosporine,Farage,0.13663992
SN-38,BC-1,0.13707499
Paclitaxel,SU-DHL-10,0.13822241
Vinblastine,GRANTA-519,0.13822904
Docetaxel,SU-DHL-4,0.13840389
SN-38,JEKO-1,0.13852358
Sepantronium bromide,D-263MG,0.13854584
SN-38,GRANTA-519,0.13917556
Romidepsin,D-392MG,0.14053331
Dactinomycin,JM1,0.14070436
Dactinomycin,H4,0.1407783
Vincristine,A4-Fuk,0.14078663
SN-38,H4,0.14099409
Staurosporine,SU-DHL-5,0.14100596
Bortezomib,RC-K8,0.14126894
Sepantronium bromide,SF539,0.14175572
Daporinad,DB,0.1422621
Vincristine,SU-DHL-10,0.14240968
Vincristine,JSC-1,0.14243962
Romidepsin,U-118-MG,0.1429064
Sepantronium bromide,8-MG-BA,0.14316283
Sepantronium bromide,RL,0.14318006
Dactinomycin,SLVL,0.14384873
SN-38,OCI-LY-19,0.14435303
Docetaxel,SCC-3,0.14437741
Bortezomib,CAS-1,0.1457236
Romidepsin,SF268,0.14609222
Gemcitabine,CTB-1,0.14631562
Sepantronium bromide,A172,0.14641821
Bortezomib,U251,0.14656548
Vinblastine,GI-1,0.14664249
Daporinad,KARPAS-422,0.14674611
Bortezomib,SK-MG-1,0.14703111
Paclitaxel,Hs-683,0.14758234
Gemcitabine,NU-DUL-1,0.14809069
Gemcitabine,Farage,0.14882746
Gemcitabine,MC116,0.14892663
SN-38,SU-DHL-8,0.14903176
Vincristine,A3-KAW,0.14972232
Camptothecin,SCC-3,0.14984562
Elesclomol,NU-DUL-1,0.1503976
Docetaxel,SF126,0.15072565
Vinblastine,TK,0.15120071
SN-38,SU-DHL-10,0.15166984
Dactinomycin,D-566MG,0.15183431
Docetaxel,DB,0.1518859
Dactinomycin,A4-Fuk,0.15360713
BI-2536,DOHH-2,0.15402941
Romidepsin,DK-MG,0.15422295
Camptothecin,DB,0.15443541
Luminespib,SU-DHL-16,0.15448256
Bortezomib,MOG-G-CCM,0.15453644
Docetaxel,KARPAS-1106P,0.154834
Romidepsin,SU-DHL-8,0.15559354
SN-38,8-MG-BA,0.15567453
