Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Camptothecin,1003,42-MG-BA,687561,GBM,nervous_system,glioma,-3.400220414,0.777516609,0.1,0.111614679,-0.621148691,GDSC2
Camptothecin,1003,8-MG-BA,687562,GBM,nervous_system,glioma,-4.256285833,0.693914841,0.1,0.11034841,-1.087249197,GDSC2
Camptothecin,1003,A172,687563,GBM,nervous_system,glioma,-2.999552153,0.803406649,0.1,0.083111465,-0.402997514,GDSC2
Camptothecin,1003,GB-1,687568,GBM,nervous_system,glioma,-3.055500415,0.771899741,0.1,0.107696867,-0.433459571,GDSC2
Camptothecin,1003,T98G,687586,GBM,nervous_system,glioma,-2.060218343,0.88877398,0.1,0.075348512,0.108439993,GDSC2
Camptothecin,1003,U-118-MG,687588,GBM,nervous_system,glioma,-3.354018386,0.748266281,0.1,0.103496602,-0.59599315,GDSC2
Camptothecin,1003,U-87-MG,687590,GBM,nervous_system,glioma,-2.450870356,0.841791598,0.1,0.120574665,-0.104257655,GDSC2
Camptothecin,1003,YKG-1,687592,GBM,nervous_system,glioma,-2.784358761,0.824085193,0.1,0.091627119,-0.285831529,GDSC2
Camptothecin,1003,D-542MG,753549,GBM,nervous_system,glioma,0.839414135,0.966675712,0.1,0.083373956,1.687198032,GDSC2
Camptothecin,1003,SNB75,905982,GBM,nervous_system,glioma,-1.924681823,0.867354444,0.1,0.121586746,0.182235334,GDSC2
Camptothecin,1003,U251,905983,GBM,nervous_system,glioma,-3.494946675,0.75547021,0.1,0.112344261,-0.67272414,GDSC2
Camptothecin,1003,SF539,905984,LGG,nervous_system,glioma,-3.522654607,0.777901859,0.1,0.077854297,-0.687810231,GDSC2
Camptothecin,1003,SF295,905985,GBM,nervous_system,glioma,-4.145416805,0.688638112,0.1,0.10043459,-1.026884522,GDSC2
Camptothecin,1003,SF268,905986,GBM,nervous_system,glioma,-3.040841452,0.793729947,0.1,0.117053597,-0.425478229,GDSC2
Camptothecin,1003,Becker,906746,GBM,nervous_system,glioma,-2.789710592,0.819907206,0.1,0.085743755,-0.288745431,GDSC2
Camptothecin,1003,CRO-AP2,906807,DLBC,blood,B_cell_lymphoma,-4.046558585,0.734245636,0.1,0.106888889,-0.973059353,GDSC2
Camptothecin,1003,DB,906832,DLBC,blood,B_cell_lymphoma,-4.620834708,0.644282947,0.1,0.119515625,-1.285734512,GDSC2
Camptothecin,1003,DBTRG-05MG,906835,GBM,nervous_system,glioma,-0.39395082,0.886120589,0.1,0.068595982,1.015669881,GDSC2
Camptothecin,1003,DK-MG,906839,GBM,nervous_system,glioma,0.993621451,0.968411732,0.1,0.070233389,1.771159031,GDSC2
Camptothecin,1003,DOHH-2,906842,DLBC,blood,B_cell_lymphoma,-5.626466411,0.518780966,0.1,0.079739139,-1.833269121,GDSC2
Camptothecin,1003,GAMG,906868,LGG,nervous_system,glioma,-2.393874111,0.852783562,0.1,0.094994513,-0.073225005,GDSC2
Camptothecin,1003,GI-1,906871,LGG,nervous_system,glioma,-3.816897535,0.747847684,0.1,0.073588915,-0.848016186,GDSC2
Camptothecin,1003,H4,907042,LGG,nervous_system,glioma,-4.712835755,0.635641644,0.1,0.096202481,-1.335826168,GDSC2
Camptothecin,1003,KALS-1,907271,LGG,nervous_system,glioma,-0.592823004,0.935000619,0.1,0.080534313,0.907390275,GDSC2
Camptothecin,1003,KARPAS-422,907274,DLBC,blood,B_cell_lymphoma,-2.989384061,0.820796341,0.1,0.11668955,-0.39746131,GDSC2
Camptothecin,1003,KINGS-1,907279,LGG,nervous_system,glioma,1.439428766,0.957235497,0.1,0.072302723,2.013886994,GDSC2
Camptothecin,1003,KNS-42,907282,LGG,nervous_system,glioma,-1.1073518,0.910249489,0.1,0.076766856,0.627245643,GDSC2
Camptothecin,1003,KS-1,907313,GBM,nervous_system,glioma,-0.125425891,0.953745616,0.1,0.069304052,1.161873199,GDSC2
Camptothecin,1003,MC116,907799,DLBC,blood,B_cell_lymphoma,-4.350844408,0.700475282,0.1,0.114762127,-1.138733345,GDSC2
Camptothecin,1003,MOG-G-CCM,908144,LGG,nervous_system,glioma,-1.51359055,0.887838375,0.1,0.08171466,0.406061512,GDSC2
Camptothecin,1003,MOG-G-UVW,908145,LGG,nervous_system,glioma,-3.883794095,0.733285924,0.1,0.121186877,-0.884439243,GDSC2
Camptothecin,1003,NMC-G1,908449,LGG,nervous_system,glioma,0.458055746,0.885419589,0.1,0.093234701,1.479560469,GDSC2
Camptothecin,1003,no-11,908450,LGG,nervous_system,glioma,0.503998088,0.957849951,0.1,0.052065899,1.504574618,GDSC2
Camptothecin,1003,no-10,908452,LGG,nervous_system,glioma,-1.516814116,0.906767403,0.1,0.119302953,0.404306382,GDSC2
Camptothecin,1003,SF126,909712,GBM,nervous_system,glioma,-3.485910152,0.773975212,0.1,0.086381992,-0.66780404,GDSC2
Camptothecin,1003,SK-MG-1,909729,GBM,nervous_system,glioma,-1.712158911,0.892364385,0.1,0.077827311,0.297947328,GDSC2
Camptothecin,1003,SW1088,909745,GBM,nervous_system,glioma,-1.342534658,0.891458732,0.1,0.083595272,0.499196026,GDSC2
Camptothecin,1003,TUR,909773,DLBC,blood,B_cell_lymphoma,-3.402812865,0.81813178,0.1,0.106940893,-0.622560198,GDSC2
Camptothecin,1003,YH-13,909905,GBM,nervous_system,glioma,-1.640108605,0.897592413,0.1,0.071190054,0.337176438,GDSC2
Camptothecin,1003,LN-405,910694,GBM,nervous_system,glioma,0.058604118,0.96083941,0.1,0.075617967,1.26207171,GDSC2
Camptothecin,1003,RL,910861,DLBC,blood,B_cell_lymphoma,-3.567831136,0.774899388,0.1,0.094469895,-0.71240742,GDSC2
Camptothecin,1003,BC-1,910919,DLBC,blood,B_cell_lymphoma,-3.564322382,0.791295485,0.1,0.103674373,-0.710497015,GDSC2
Camptothecin,1003,SCC-3,910930,DLBC,blood,B_cell_lymphoma,-5.118089034,0.589856914,0.1,0.154267497,-1.556473742,GDSC2
Camptothecin,1003,AM-38,910933,GBM,nervous_system,glioma,-4.460757764,0.657518258,0.1,0.123127318,-1.198577687,GDSC2
Camptothecin,1003,A4-Fuk,910934,DLBC,blood,B_cell_lymphoma,-3.998150973,0.730565173,0.1,0.104227711,-0.946702941,GDSC2
Camptothecin,1003,A3-KAW,910935,DLBC,blood,B_cell_lymphoma,-5.308917116,0.563173367,0.1,0.13913582,-1.660373588,GDSC2
Camptothecin,1003,CAS-1,910943,GBM,nervous_system,glioma,-1.058668064,0.899303169,0.1,0.093603344,0.653752396,GDSC2
Camptothecin,1003,KNS-81-FD,924188,LGG,nervous_system,glioma,-1.236732517,0.904540883,0.1,0.119351391,0.556801941,GDSC2
Camptothecin,1003,D-247MG,946367,GBM,nervous_system,glioma,-1.596028226,0.882938542,0.1,0.157409964,0.361176808,GDSC2
Camptothecin,1003,D-263MG,946368,GBM,nervous_system,glioma,-2.329898041,0.857161251,0.1,0.110182892,-0.038392061,GDSC2
Camptothecin,1003,D-336MG,946369,LGG,nervous_system,glioma,-2.014205231,0.882249821,0.1,0.100814363,0.133492674,GDSC2
Camptothecin,1003,D-392MG,946370,GBM,nervous_system,glioma,-2.332639287,0.839565528,0.1,0.097096453,-0.039884583,GDSC2
Camptothecin,1003,D-423MG,946372,GBM,nervous_system,glioma,-2.789158237,0.839217129,0.1,0.093883617,-0.288444691,GDSC2
Camptothecin,1003,D-502MG,946373,LGG,nervous_system,glioma,-2.044393408,0.838180506,0.1,0.08905971,0.117056168,GDSC2
Camptothecin,1003,D-566MG,946377,GBM,nervous_system,glioma,-3.386084719,0.798625165,0.1,0.094841477,-0.613452253,GDSC2
Camptothecin,1003,CTB-1,949088,DLBC,blood,B_cell_lymphoma,-4.359842586,0.662206598,0.1,0.133336852,-1.143632569,GDSC2
Camptothecin,1003,M059J,949094,GBM,nervous_system,glioma,-3.362779632,0.759780318,0.1,0.113442763,-0.600763372,GDSC2
Camptothecin,1003,Hs-683,1240150,LGG,nervous_system,glioma,-4.144878392,0.701063174,0.1,0.103892854,-1.026591373,GDSC2
Camptothecin,1003,LN-18,1240168,GBM,nervous_system,glioma,-2.041105849,0.889966262,0.1,0.135411208,0.11884614,GDSC2
Camptothecin,1003,LN-229,1240169,GBM,nervous_system,glioma,-0.295973329,0.953138188,0.1,0.072742843,1.069015521,GDSC2
Camptothecin,1003,LNZTA3WT4,1240170,GBM,nervous_system,glioma,-1.459052659,0.91717578,0.1,0.095118762,0.435755666,GDSC2
Camptothecin,1003,Farage,1297449,DLBC,blood,B_cell_lymphoma,-4.621069983,0.658231932,0.1,0.174052112,-1.285862612,GDSC2
Camptothecin,1003,GRANTA-519,1303897,DLBC,blood,B_cell_lymphoma,-4.604881659,0.641943379,0.1,0.134071742,-1.277048582,GDSC2
Camptothecin,1003,JEKO-1,1327765,DLBC,blood,B_cell_lymphoma,-4.22451792,0.706859872,0.1,0.114728417,-1.069952574,GDSC2
Camptothecin,1003,JM1,1327768,DLBC,blood,B_cell_lymphoma,-5.023044584,0.605273449,0.1,0.150593489,-1.50472505,GDSC2
Camptothecin,1003,JSC-1,1327769,DLBC,blood,B_cell_lymphoma,-4.721617532,0.639698074,0.1,0.140740138,-1.340607567,GDSC2
Camptothecin,1003,KARPAS-1106P,1327773,DLBC,blood,B_cell_lymphoma,-4.39065586,0.684558088,0.1,0.118411902,-1.16040942,GDSC2
Camptothecin,1003,NU-DUL-1,1330982,DLBC,blood,B_cell_lymphoma,-4.794100861,0.63402886,0.1,0.116332516,-1.380072444,GDSC2
Camptothecin,1003,OCI-LY-19,1330984,DLBC,blood,B_cell_lymphoma,-5.6054228,0.520988736,0.1,0.095094324,-1.821811542,GDSC2
Camptothecin,1003,RC-K8,1330995,DLBC,blood,B_cell_lymphoma,-3.475964229,0.767728719,0.1,0.101230247,-0.6623888,GDSC2
Camptothecin,1003,SLVL,1331032,DLBC,blood,B_cell_lymphoma,-4.88117347,0.613211929,0.1,0.129322518,-1.427480722,GDSC2
Camptothecin,1003,SU-DHL-10,1331033,DLBC,blood,B_cell_lymphoma,-3.561630246,0.80472494,0.1,0.151619143,-0.709031232,GDSC2
Camptothecin,1003,SU-DHL-16,1331034,DLBC,blood,B_cell_lymphoma,-5.154963383,0.586217371,0.1,0.112939496,-1.576550657,GDSC2
